,bigram_cluster_0,bigram_cluster_1,bigram_cluster_2,bigram_cluster_3,bigram_cluster_4,bigram_freq_cluster_0,bigram_freq_cluster_1,bigram_freq_cluster_2,bigram_freq_cluster_3,bigram_freq_cluster_4
0,in the,in the,in the,of the,of the,679,2907,344,542,2522
1,of the,of the,of the,in the,in the,578,2680,320,449,1971
2,to the,to the,to the,to the,to the,286,1059,148,161,1125
3,the syrian,in a,the israeli,for the,for the,241,846,136,146,689
4,said the,said the,gaza strip,in a,on the,198,825,125,130,684
5,on the,have been,the gaza,prime minister,in a,187,807,124,129,639
6,have been,on the,in gaza,the election,and the,169,782,119,127,634
7,at least,for the,on the,and the,said the,163,673,107,119,622
8,human rights,from the,and the,the vote,at the,159,655,107,115,562
9,in a,at the,said the,has been,that the,147,648,103,106,544
10,from the,by the,in a,he said,by the,133,512,95,100,529
11,for the,at least,for the,to be,the us,132,510,92,97,525
12,by the,and the,from the,that the,he said,124,481,75,97,525
13,and the,more than,west bank,said the,to be,124,479,72,94,520
14,president bashar,to be,that the,will be,from the,124,463,70,94,489
15,in syria,had been,the palestinian,by the,with the,120,456,62,94,482
16,of a,of a,at the,on the,has been,114,440,62,91,377
17,city of,that the,by the,at the,the united,114,429,61,83,358
18,security forces,has been,the west,had been,have been,113,414,61,80,357
19,were killed,he said,to be,from the,of a,112,396,60,80,354
20,the government,it was,an israeli,the country,it is,112,360,58,78,343
21,the city,the us,israeli military,the first,will be,111,340,57,77,329
22,that the,with the,israel and,more than,had been,111,320,56,74,308
23,more than,one of,israel has,with the,it was,110,306,55,73,271
24,had been,according to,with the,said he,as a,109,304,52,68,268
